<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.06.03	01:05:00	2328.38	2328.79	2326.55	2326.96	246	0	7
2024.06.03	01:10:00	2327.05	2327.06	2324.19	2325.16	259	0	4
2024.06.03	01:15:00	2325.08	2326.56	2325.08	2325.98	116	0	4
2024.06.03	01:20:00	2325.99	2325.99	2324.56	2325.21	126	0	4
2024.06.03	01:25:00	2325.21	2325.21	2323.29	2323.31	146	0	4
2024.06.03	01:30:00	2323.41	2325.12	2323.41	2324.73	164	0	4
2024.06.03	01:35:00	2324.68	2326.48	2324.33	2325.84	198	0	4
2024.06.03	01:40:00	2325.67	2326.66	2325.42	2326.28	182	0	8
2024.06.03	01:45:00	2326.16	2326.67	2326.04	2326.04	163	0	12
2024.06.03	01:50:00	2326.04	2326.34	2325.39	2325.58	117	0	4
2024.06.03	01:55:00	2325.60	2326.81	2325.17	2326.40	159	0	4
2024.06.03	02:00:00	2326.40	2326.80	2325.80	2326.10	155	0	4
2024.06.03	02:05:00	2326.10	2326.64	2325.39	2325.70	184	0	4
2024.06.03	02:10:00	2325.70	2326.12	2325.50	2326.01	84	0	11
2024.06.03	02:15:00	2326.00	2326.26	2325.90	2325.90	154	0	8
2024.06.03	02:20:00	2325.90	2326.20	2325.00	2325.08	137	0	4
2024.06.03	02:25:00	2325.09	2325.72	2325.06	2325.49	124	0	11
2024.06.03	02:30:00	2325.39	2325.68	2324.67	2325.29	183	0	11
2024.06.03	02:35:00	2325.30	2325.80	2324.45	2324.56	164	0	4
2024.06.03	02:40:00	2324.60	2325.38	2323.99	2325.00	217	0	4
2024.06.03	02:45:00	2324.98	2326.19	2324.98	2326.08	123	0	6
2024.06.03	02:50:00	2325.99	2325.99	2325.46	2325.77	130	0	7
2024.06.03	02:55:00	2325.78	2326.19	2325.65	2325.86	127	0	12
2024.06.03	03:00:00	2325.86	2326.24	2325.24	2326.17	363	0	4
2024.06.03	03:05:00	2326.16	2326.27	2324.61	2324.81	450	0	4
2024.06.03	03:10:00	2324.80	2325.71	2324.24	2325.45	362	0	4
2024.06.03	03:15:00	2325.39	2325.78	2325.07	2325.78	324	0	6
2024.06.03	03:20:00	2325.81	2326.09	2325.26	2325.92	233	0	4
2024.06.03	03:25:00	2325.92	2325.92	2325.09	2325.30	234	0	4
2024.06.03	03:30:00	2325.26	2325.40	2324.71	2324.93	188	0	4
2024.06.03	03:35:00	2324.93	2325.28	2324.07	2324.11	271	0	4
2024.06.03	03:40:00	2324.20	2325.71	2323.96	2325.71	256	0	8
2024.06.03	03:45:00	2325.71	2327.05	2325.52	2327.05	291	0	4
2024.06.03	03:50:00	2327.05	2327.30	2326.27	2327.21	427	0	4
2024.06.03	03:55:00	2327.45	2327.48	2326.72	2327.14	360	0	4
2024.06.03	04:00:00	2327.13	2328.59	2326.96	2327.55	1049	0	4
2024.06.03	04:05:00	2327.55	2327.92	2326.11	2327.31	814	0	4
2024.06.03	04:10:00	2327.23	2328.82	2327.21	2328.63	542	0	4
2024.06.03	04:15:00	2328.63	2330.04	2328.32	2329.79	771	0	4
2024.06.03	04:20:00	2329.80	2331.06	2329.48	2330.16	827	0	4
2024.06.03	04:25:00	2330.24	2330.76	2328.77	2328.79	615	0	7
2024.06.03	04:30:00	2328.79	2328.98	2327.29	2327.93	738	0	4
2024.06.03	04:35:00	2327.85	2328.86	2327.24	2327.73	480	0	4
2024.06.03	04:40:00	2327.74	2328.87	2327.56	2328.80	623	0	11
2024.06.03	04:45:00	2328.81	2331.01	2328.81	2330.34	894	0	4
2024.06.03	04:50:00	2330.34	2330.99	2329.45	2330.18	813	0	4
2024.06.03	04:55:00	2330.19	2330.89	2330.14	2330.78	696	0	7
2024.06.03	05:00:00	2330.75	2330.97	2329.60	2329.68	833	0	5
2024.06.03	05:05:00	2329.68	2329.88	2328.90	2329.25	756	0	6
2024.06.03	05:10:00	2329.26	2330.06	2329.26	2329.98	615	0	4
2024.06.03	05:15:00	2329.92	2330.29	2329.58	2330.23	342	0	4
2024.06.03	05:20:00	2330.23	2330.27	2328.52	2328.75	277	0	6
2024.06.03	05:25:00	2328.77	2329.39	2328.70	2328.90	234	0	4
2024.06.03	05:30:00	2328.90	2329.70	2328.47	2329.29	338	0	4
2024.06.03	05:35:00	2329.28	2329.33	2326.90	2326.90	441	0	4
2024.06.03	05:40:00	2326.90	2327.61	2326.79	2327.48	401	0	4
2024.06.03	05:45:00	2327.39	2327.59	2326.17	2326.72	663	0	7
2024.06.03	05:50:00	2326.74	2326.91	2325.60	2326.36	710	0	4
2024.06.03	05:55:00	2326.30	2326.61	2325.51	2326.31	671	0	4
2024.06.03	06:00:00	2326.31	2327.94	2325.60	2327.59	860	0	4
2024.06.03	06:05:00	2327.56	2328.13	2326.39	2327.06	720	0	11
2024.06.03	06:10:00	2327.06	2327.38	2325.89	2327.20	681	0	9
